Product Group,Export (US$ Thousand),Import (US$ Thousand),Export Product Share (%),Import Product Share (%),Revealed comparative advantage,World Growth (%),Country Growth (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports (US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand),Country,Year
All Products,16184679.30,100012902.71,100.00,100.00,1.00,16.55,7.15,4.24,4.11,8202,59.40,30.50,2.04,8.06,350.00,0.00,1501148.82,62928834.48,43538381.04,4.24,4.11,8202,59.40,30.50,2.04,8.06,350.00,0.00,1501148.82,62928834.48,43538381.04,China,2000
Capital goods,8304745.38,26136596.70,51.31,26.13,1.27,15.75,6.70,1.48,0.79,1489,44.33,54.80,0.27,0.60,25.00,0.00,19163.62,10335499.23,17008951.99,1.48,0.79,1489,44.33,54.80,0.27,0.60,25.00,0.00,19163.62,10335499.23,17008951.99,China,2000
Consumer goods,1325146.86,64141852.76,8.19,64.13,0.73,22.41,10.64,5.29,5.55,3127,64.02,22.77,3.81,9.40,247.47,0.00,943810.83,47858993.09,21810579.77,5.29,5.55,3127,64.02,22.77,3.81,9.40,247.47,0.00,943810.83,47858993.09,21810579.77,China,2000
Intermediate goods,3233539.85,7023412.27,19.98,7.02,0.74,11.13,-0.61,5.21,3.51,3080,68.08,22.69,1.27,7.95,350.00,0.00,95138.13,3909747.78,3815256.07,5.21,3.51,3080,68.08,22.69,1.27,7.95,350.00,0.00,95138.13,3909747.78,3815256.07,China,2000
Raw materials,2483821.28,1574956.45,15.35,1.57,1.04,42.98,30.99,1.91,1.25,506,22.33,54.35,0.99,22.33,350.00,0.00,443036.24,824594.38,903593.21,1.91,1.25,506,22.33,54.35,0.99,22.33,350.00,0.00,443036.24,824594.38,903593.21,China,2000
Animal,259486.57,745600.31,1.60,0.75,2.55,14.96,17.88,1.10,0.18,109,24.77,67.89,0.92,6.42,15.00,0.00,4034.36,83114.32,708904.00,1.10,0.18,109,24.77,67.89,0.92,6.42,15.00,0.00,4034.36,83114.32,708904.00,China,2000
Chemicals,1079078.39,1861282.43,6.67,1.86,1.42,13.38,-3.64,3.39,2.63,1373,62.93,28.70,0.00,8.38,14.32,0.00,0.00,1220926.96,799289.70,3.39,2.63,1373,62.93,28.70,0.00,8.38,14.32,0.00,0.00,1220926.96,799289.70,China,2000
Food Products,178927.80,370414.03,1.11,0.37,1.37,18.66,8.65,10.54,9.80,529,44.05,18.53,3.40,34.03,350.00,0.00,23148.39,337528.43,85498.55,10.54,9.80,529,44.05,18.53,3.40,34.03,350.00,0.00,23148.39,337528.43,85498.55,China,2000
Footwear,46539.71,10654506.41,0.29,10.65,1.74,3.81,-2.15,8.80,14.77,168,65.48,20.24,1.79,12.50,61.43,0.00,35026.73,10816921.57,523052.71,8.80,14.77,168,65.48,20.24,1.79,12.50,61.43,0.00,35026.73,10816921.57,523052.71,China,2000
Fuels,60594.22,732385.66,0.37,0.73,0.05,52.18,-26.38,1.08,5.16,27,7.41,51.85,37.04,3.70,32.49,0.00,559748.56,559748.56,246285.59,1.08,5.16,27,7.41,51.85,37.04,3.70,32.49,0.00,559748.56,559748.56,246285.59,China,2000
